Samples,aSEC Retention Time (min),aSEC % Monomer,CIC Retention Time (min),CIC Dev. Score,HIC Retention Time (min),HIC Dev. Score,BVP-ELISA OD450 (a.u.),BVP-ELISA Dev. Score,AC-SINS Δλmax (nm),AC-SINS Dev. Score,DLS PDI,DLS Dev. Score,Cumulant Radius (nm),Cumulant Radius St Dev,Tonset (ºC),Tonset St Dev,Tm (ºC),Tm St Dev,Tagg (ºC),Tagg St Dev,TRh (ºC),T↑Rh St Dev
Lofacimig_VHH1,3.7,97.68,9.31,2,18.9,3,3.274,3,2.92,1,0.1,1,4.52,0.08,59.99,0.53,69.81,0.06,85.87,0.03,76.55,0.27
Lofacimig_VHH2,3.5,73.08,8.89,1,19.84,3,2.3,3,1.79,1,0.31,2,17.34,0.01,58.73,1.12,68.92,0.08,55.86,44.53,73.12,6.14
Lunsekimig1_VHH1,4,100,10.63,3,17.06,2,3.258,3,27.24,3,0.51,2,19.42,0.34,60.12,0.63,67.59,0.27,82.37,0.04,79.06,0
Lunsekimig1_VHH2,3.8,100,9.96,2,16.88,2,3.225,3,15.21,2,0.1,1,4.15,0.01,51.13,0.54,59.59,0.05,82.13,0.05,78.42,0.18
Lunsekimig2_VHH1,3.7,100,9.2,2,18.28,3,0.239,1,3.97,1,0.18,1,4.52,0.14,58.81,0.18,64.52,0.01,87,0.1,80.57,0.18
Lunsekimig3_VHH1,3.5,100,8.89,1,13.38,1,0.171,1,2.04,1,0.14,1,4.45,0.05,61.89,0.37,71.58,0.05,46.66,37.05,76.69,1.7
Ozekibart_VHH1,3.8,100,9.44,2,15.78,2,0.172,1,14.49,2,0.86,3,12.68,2.78,59.61,0.27,66.51,0.05,82.76,0.06,80.02,0.27
Ozoralizumab_VHH1,3.8,100,9.69,2,14.04,1,0.274,1,29.78,3,0.08,1,4.12,0.07,58.69,0.27,66.49,0.07,82.49,0.07,77.99,0.09
Ozoralizumab_VHH2,3.8,97.9,9.65,2,17.21,2,0.19,1,5.09,1,0.21,1,4.30,0.28,54.79,0.18,61.08,0.13,82.9,0.01,79.69,0.04
Podentamig1_VHH1,3.7,100,9.31,2,15.12,2,3.275,3,4.21,1,0.53,2,6.54,0.06,57.22,0,64.49,0.01,85.55,4.9,77.8,0.18
Podentamig1_VHH2,3.8,100,9.43,2,17.09,2,0.106,1,18.5,2,0.13,1,4.37,0.13,57.99,0.9,65.44,0.13,83.47,1.42,79.01,0.27
Porustobart_VHH1,3.9,100,9.76,2,16.62,2,0.105,1,18.36,2,0.85,3,15.55,1.53,56.84,0.72,67.04,0.09,83.62,0.01,79.18,0.64
Produvofusp_VHH1,3.6,100,9.07,2,17.1,2,1.231,2,3.61,1,0.12,1,4.31,0.11,47.82,0.88,55.11,0.09,47.64,25.33,76.81,0.95
Rimteravimab_VHH1,3.6,100,9.06,2,16.9,2,0.153,1,3.99,1,0.14,1,4.44,0.09,56.88,0.09,65.93,0.06,85.53,0.13,80.61,0.27
Sonelokimab1_VHH1,3.7,100,9.41,2,17.11,2,0.088,1,11.74,2,0.71,3,20.92,0.64,57.54,0.99,65.73,0.04,83.71,0.04,80.94,0.78
Sonelokimab2_VHH1,3.7,100,9.55,2,16.38,2,0.833,2,3.23,1,0.05,1,4.25,0.05,67.95,0.09,73.89,0.08,55.92,3.91,77.55,0.09
Tarperprumig_VHH1,4,100,9.96,2,16.72,2,0.218,1,30.35,3,0.94,3,17.09,2.33,55.62,0.45,61.69,0,80.06,0.15,76.46,0.09
Tarperprumig_VHH2,3.7,100,9.22,2,14.86,1,0.165,1,3.68,1,0.24,1,4.11,0.86,54.85,0.09,61.27,0,82.37,1.39,79.4,0.45
Vobarilizumab_VHH1,3.6,100,9.48,2,17.09,2,3.173,3,35.79,3,0.42,2,4.52,0.87,59.84,0.09,65.7,0.02,82.57,0.03,78.5,0.45
Proprietary sequence 1,3.8,96.84,9.48,2,16.24,2,0.33,1,9.37,1,0.92,3,15.93,1.02,56.71,0.36,66.99,0.11,83.68,0.04,80.51,0.51
Proprietary sequence 2,3.7,100,9.48,2,19.78,2,2.231,3,4.07,1,0.11,1,4.37,0.06,48.07,---,54.92,---,52.13,---,79.1,---
Proprietary sequence 3,3.8,100,9.63,2,16.48,2,2.589,3,5.42,1,0.14,1,4.49,0.05,66.35,0.26,73.38,0.1,83.94,0.04,79.94,0.32
Proprietary sequence 4,4.4,98.53,12.51,3,27.05,3,1.986,3,23.55,2,0.7,3,14.36,0.17,62.05,0.09,68.4,0.14,82.66,0.04,79.85,0.27
Proprietary sequence 5,3.8,97.86,9.48,2,20.19,3,0.962,2,4.57,1,0.34,2,3.31,0.23,56.11,0.09,61.76,0.17,86.46,0.15,80.41,0.09
Proprietary sequence 6,4.5,100,Inconclusive,---,19.35,3,1.157,2,13.06,2,0.53,2,20.82,0.46,52.96,2.05,61.6,0.01,62.89,0.2,79.69,0.04
Proprietary sequence 7,3.7,80.28,9.37,2,22.32,3,1.048,2,27.16,3,0.52,2,7.40,0.15,55.3,1.61,66.65,0.02,84.47,0.05,80.98,0.27
Proprietary sequence 8,3.7,43.25,8.8,1,17.56,2,3.215,3,1.79,1,0.18,1,7.70,0.05,59.29,1.06,69.35,0,53.28,25.28,80.41,0.62
Proprietary sequence 9,3.9,19.5,13.67,3,22.45,3,2.162,3,3.1,1,0.31,2,16.54,0.18,55.48,0.26,66.91,0.37,71.22,18.01,81.16,0.44
Proprietary sequence 10,4.2,86.96,10.89,3,23.01,3,0.153,1,16.93,2,0.8,3,21.03,1.97,50.51,1.54,60.97,0.13,83.45,0.1,80.56,0.65
Proprietary sequence 11,3.8,100,11.38,3,22.98,3,0.174,1,21.36,2,0.89,3,15.50,1.05,52.93,0.18,65.75,0.05,41.76,9.5,79.57,*
Proprietary sequence 12,3.7,97.17,9.62,2,23.37,3,0.297,1,16.73,2,0.18,1,4.79,0.03,51.66,0.32,58.78,0.04,86.36,0,80.63,0.13
Proprietary sequence 13,3.7,71.12,9.21,2,24.24,3,0.246,1,2.19,1,0.43,2,8.07,0.14,47.65,1.16,54.06,0.1,85.32,0.03,80.59,0.62
Proprietary sequence 14,3.7,97.17,9.44,2,23.79,3,0.284,1,3.27,1,0.18,1,5.08,0.03,51.79,0.35,66.58,0.05,29.88,13.99,*,*
Proprietary sequence 15,3.6,92.03,9.13,2,21.43,3,0.308,1,1.74,1,0.9,3,12.98,0.73,52.61,0.79,67.07,0,57.77,19.58,80.31,7.82
Proprietary sequence 16,4.2,100,11.1,3,21.39,3,2.927,3,27.06,3,0.79,3,17.00,1.59,59.33,0.09,67.26,0.02,86.51,0.01,81.51,0.62
Proprietary sequence 17,3.6,96.51,9.99,2,19,3,1.366,3,1.93,1,0.07,1,5.14,0.86,56.52,0.18,68.55,0.01,81.77,4.81,78.56,0.13
Proprietary sequence 18,3.9,100,9.96,2,21.6,3,3.27,3,12.37,2,0.3,,4.97,0.09,59.44,0.45,65.59,0.14,84.16,0.01,80.4,0.09
Proprietary sequence 19,3.8,97.06,10.01,3,20.68,3,2.925,3,11.38,2,0.83,3,17.78,1.62,59.19,0.45,66.75,0.01,82.76,0.03,78.93,1.1
Proprietary sequence 20,3.7,67.94,9.05,2,14.85,1,2.868,3,1.99,1,0.16,1,6.22,0.09,62.64,0.44,68.53,0.11,83.57,0.04,80.02,0.45
Proprietary sequence 21,3.7,93.67,9.15,2,24.04,3,0.325,1,1.28,1,0.22,1,5.71,0.05,57.34,0.09,66.95,0.02,49.32,10.94,78.53,0.45
Proprietary sequence 22,3.9,97.83,10.55,3,17.41,2,0.188,1,14.13,2,0.68,3,25.73,---,57.29,---,66.87,---,80.45,---,75.23,---
Proprietary sequence 23,---,---,---,---,---,---,---,---,---,---,---,,---,---,---,---,---,---,---,---,---,---
Proprietary sequence 24,3.9,100,10.69,3,15.06,2,0.169,1,21.29,2,0.78,3,22.15,0.60,56.69,0.54,64.46,0.07,82.29,0.03,77.44,0.98
Proprietary sequence 25,3.7,91.93,10.18,3,Inconclusive,---,1.596,3,13.33,2,0.47,2,13.37,0.21,58.71,0.09,66.34,0.13,89.35,1.97,80.89,0.26
Proprietary sequence 26,Inconclusive,---,Inconclusive,---,19.81,3,0.308,1,7.86,1,0.49,2,10.01,0.14,52.09,0,58.7,0.03,59.52,0.01,54.46,0.27
Proprietary sequence 27,3.7,87.6,9.13,2,17.4,2,0.298,1,3.69,1,0.23,1,6.08,0.07,53.18,0.63,66.49,0.15,82.77,0.01,79,0.09
Proprietary sequence 28,3.7,100,9.27,2,16.65,2,0.645,1,4.92,1,0.22,1,4.69,0.01,59.29,0.41,66.86,0.04,84.89,0.01,81.32,0.12
Proprietary sequence 29,3.9,90.76,10.33,3,25.1,3,0.763,2,3.59,1,0.48,2,17.88,0.19,56.16,0.53,66.95,0.05,26.72,9.72,80.77,1.14
Proprietary sequence 30,3.8,100,10.86,3,23.59,3,1.86,3,26.3,3,0.8,3,19.07,0.28,57.76,0.11,67.46,0.07,84.99,0.02,81.45,0.05
Proprietary sequence 31,3.8,100,9.45,2,19.18,3,1.781,3,8.95,1,0.89,3,15.48,0.10,54.71,0.09,66.15,0.01,84.12,0.01,80.98,0.72
Proprietary sequence 32,3.7,83.53,9.42,2,19.6,3,3.273,3,10.64,2,0.71,3,10.66,1.25,57.84,0.09,66.9,0.15,61.41,40.35,82.01,0.09
Proprietary sequence 33,3.6,92.48,9.19,2,17.58,2,2.953,3,2.55,1,0.2,1,4.77,0.03,58.5,0.15,67.33,0.06,84.36,0,80.15,0.45
Proprietary sequence 34,4.4,69.68,10.53,3,25.1,3,0.311,1,6.29,1,0.52,2,15.31,0.06,55.54,0.18,67.66,0.18,82.86,0.02,79.58,0.09
Proprietary sequence 35,3.7,100,9.43,2,12.91,1,2.772,3,3.6,1,0.85,3,19.36,0.04,58.61,0.9,67.18,0.06,80.75,0,78.1,0.27
Proprietary sequence 36,Inconclusive,---,Inconclusive,---,24.29,3,3.174,3,4.83,1,0.65,3,22.64,1.72,52.22,0.36,58.58,0.06,59.22,0.04,80.66,0.27
Proprietary sequence 37,3.7,100,9.13,2,12.95,1,0.838,2,6.78,1,0.31,2,4.56,0.01,62.45,0.18,70.17,0.14,82.3,0.01,78.55,0.18
Proprietary sequence 38,3.7,100,9.2,2,14.85,1,0.226,1,8.65,1,0.24,1,4.44,0.04,59.27,0.92,68.18,0.07,82.9,0.04,79.43,0.09
Proprietary sequence 39,3.7,100,9.52,2,16.53,2,2.255,3,8.76,1,0.15,1,4.37,0.19,58.5,0.77,66.68,0.01,85.77,0.27,80.78,0.71
Proprietary sequence 40,3.6,100,9.01,2,14.85,1,0.571,1,2.38,1,0.19,1,4.39,0.00,61.61,0.08,68.86,0.04,84.56,0.03,80.87,0.51
Proprietary sequence 41,3.7,100,9.2,2,17.29,2,0.344,1,3.68,1,0.16,1,4.29,0.14,59.66,1.25,67.82,0.01,64.88,5.19,79.63,1.67
Proprietary sequence 42,3.8,100,9.59,2,23.14,3,1.48,3,6.52,1,0.13,1,4.26,0.07,59.95,0.67,67.87,0.05,42.47,8.65,79.27,0.5
Proprietary sequence 43,3.8,100,9.66,2,18.55,3,2.013,3,15.08,2,0.09,1,4.23,0.01,59.07,0.68,66.3,0.01,82.64,0.01,79.79,0.09
Proprietary sequence 44,3.7,100,9.48,2,14.31,1,0.32,1,8.32,1,0.19,1,4.43,0.12,56.54,0.17,63.94,0.09,82.08,0.04,78.89,0.51
Proprietary sequence 45,3.7,100,9.31,2,14.87,1,2.313,3,5.08,1,0.07,1,4.27,0.01,59.07,0.25,68.07,0.05,87.03,0.09,74.86,0.75
Proprietary sequence 46,3.8,100,9.55,2,17.61,2,0.389,1,9.7,1,0.08,1,4.23,0.04,60.01,0.75,66.86,0.13,73.72,17.89,80.69,0.83
Proprietary sequence 47,3.8,100,9.64,2,16.22,2,3.187,3,10.64,2,0.09,1,4.24,0.12,59.89,1.08,67.18,0.04,53.2,16.17,79.86,0.17
Proprietary sequence 48,3.8,100,9.64,2,16.09,2,3.129,3,13.81,2,0.08,1,4.28,0.03,61.15,0.3,71.23,0.03,86.44,0.55,80.04,2.76
Proprietary sequence 49,3.9,100,9.84,2,19.85,3,0.48,1,10.8,2,0.42,2,5.45,0.10,55.69,0.36,62.23,0.01,82.95,0.05,79.5,0.76
Proprietary sequence 50,4,100,10.76,3,21.8,3,0.366,1,17.11,2,0.48,2,5.63,1.44,58.05,0.26,65.59,0.01,82.51,0.06,78.95,0.09
Proprietary sequence 51,4,100,10.6,3,21.86,3,0.655,1,18.25,2,0.75,3,8.35,0.55,55.93,---,66.75,---,82.34,---,79.13,---
Proprietary sequence 52,4.2,100,13.59,3,Inconclusive,---,2.259,3,25.8,3,0.73,3,14.44,0.34,57.44,0.09,66.04,0.17,82.65,0.04,79.13,0.17
Proprietary sequence 53,3.8,100,9.58,2,17.9,2,2.895,3,8.45,1,0.15,1,4.43,0.08,60.12,---,66.43,---,83.86,---,80.28,---
Proprietary sequence 54,3.7,100,9.21,2,13.7,1,0.376,1,5.32,1,0.11,1,4.31,0.07,63.48,0.09,68.2,0.05,83.25,0.03,79.55,0.26
Proprietary sequence 55,3.9,100,9.7,2,18.8,3,0.387,1,8.57,1,0.77,3,8.21,0.51,70.49,0.09,81.36,0.26,83.39,0.01,80.16,0.09
Proprietary sequence 56,3.9,100,9.53,2,18.2,3,0.39,1,5.58,1,0.16,1,4.30,0.10,61.19,0.43,67.06,0.02,83.94,0.04,80.28,0.09
Proprietary sequence 57,3.8,89.06,9.29,2,14.1,1,3.17,3,4.62,1,0.1,1,4.28,0.03,57.62,0.17,63.6,0.07,83.23,0.03,79.85,0.17
Proprietary sequence 58,3.9,100,9.71,2,18.2,3,1.084,2,8.66,1,0.8,3,9.66,0.29,55.57,0.34,61.54,0.02,82.2,0.01,79.67,0.43
Proprietary sequence 59,4.1,100,11.09,3,22.6,3,3.256,3,16.09,2,0.83,3,17.22,0.47,55.39,0.26,61.89,0.07,82.28,0.01,79.07,0.6
Proprietary sequence 60,3.8,91,9.48,2,14.1,1,0.961,2,6.78,1,0.2,1,4.50,0.04,55.75,0.43,62.04,0.05,81.54,0.01,78.77,0.17
Proprietary sequence 61,3.9,100,9.94,2,18.1,3,0.318,1,14.05,2,1.01,3,13.74,0.75,53.76,0.27,59.46,0.03,81.67,0.04,79.39,0
Proprietary sequence 62,4.1,100,11.72,3,21.7,3,1.353,3,23.74,2,0.91,3,14.02,1.29,53.97,---,59.07,---,81.76,---,78.96,---
Proprietary sequence 63,3.8,98,9.51,3,13.8,1,0.136,1,12.24,2,0.19,1,4.48,0.05,53.63,0.09,59.86,0.01,82.42,0.03,79.26,0.36
Proprietary sequence 64,3.9,100,10.11,3,19.7,3,0.85,2,24.19,2,0.53,2,5.60,---,63.5,---,74.1,---,61.09,---,78.78,---
Proprietary sequence 65,3.9,100,10.02,3,16.3,2,0.412,1,21.89,2,0.18,1,4.61,0.05,60.87,0.71,66.22,0.07,59.64,35.1,79.22,0.27
Proprietary sequence 66,3.7,100,9.5,2,18,2,0.367,1,5.09,1,0.24,1,4.58,0.17,66.28,---,73.12,---,85.9,---,22.5,---
Proprietary sequence 67,3.8,100,9.35,2,18,2,0.407,1,6.02,1,0.27,1,4.69,0.04,61.32,0.36,67.01,0.01,85.16,0.07,81.18,0.81
Proprietary sequence 68,3.7,100,9.16,2,15,1,0.377,1,4.08,1,0.19,1,4.49,0.15,60.18,0.18,66.46,0.05,84.95,0,80.6,0.18
Proprietary sequence 69,4.3,100,10.74,3,23.6,3,2.509,3,17.56,2,0.8,3,14.50,0.19,56.26,1.09,68.49,0.02,78.93,0.04,75.41,0.18
Proprietary sequence 70,4.1,100,10.3,3,20.5,3,1.745,3,19.88,2,0.87,3,15.48,0.16,58.83,0.55,67.87,0.06,78.98,0.05,76.43,0.36
Proprietary sequence 71,3.9,100,9.79,2,17.4,2,0.822,2,14.18,2,0.98,3,10.20,0.72,57.25,0.12,68.29,0.17,79.73,0.9,76.18,1.09
Proprietary sequence 72,4.1,100,10.33,3,20.7,3,1.806,3,18.13,2,0.88,3,13.14,0.37,59.03,0.09,68.12,0.07,78.87,0.17,76.43,0.36
